4,3,2,2,2,2	584013568	61648333	111633761	11785994
4,3,2,2,3	116282927	12266403	15895243	1677513
4,3,2,3,2	164826115	17359785	30780797	3242925
4,3,2,4	18223283	1917352	1941008	204412
4,3,3,2,2	223145363	23318799	42251390	4416775
4,3,3,3	57457478	5994341	7607796	794475
4,3,4,2	53614983	5565797	9797546	1017674
4,3,5	4654235	481395	400595	41507
4,4,2,2,2	170510993	17704105	32474773	3372840
4,4,2,3	34347586	3562167	4641942	481823
4,4,3,2	77779957	7996448	14331860	1474327
4,4,4	12315532	1258501	1258501	128841
4,5,2,2	37426880	3827154	7034024	719624
4,5,3	13710610	1391099	1756288	178457
4,6,2	6427451	648240	1151931	116265
4,7	342248	34293	22212	2241
5,2,2,2,2,2	169757205	15041959	32472375	2877773
5,2,2,2,3	33716238	2985738	4617918	409102
5,2,2,3,2	47358111	4187003	8857306	783330
5,2,2,4	5215831	460701	558490	49366
5,2,3,2,2	49429983	4352827	9376476	825938
5,2,3,3	12552119	1103993	1677131	147629
5,2,4,2	9580511	840723	1762055	154705
5,2,5	705005	61769	61769	5417
5,3,2,2,2	92490165	8070479	17630779	1538933
5,3,2,3	18571505	1618293	2517267	219555
5,3,3,2	34532058	2986882	6387643	552875
5,3,4	4654235	400595	481395	41507
5,4,2,2	31237011	2687823	5881984	506426
5,4,3	9816145	837917	1267631	108387
5,5,2	7470787	634315	1344445	114257
5,6	584820	49374	42907	3653
6,2,2,2,2	20049075	1511965	3829088	288851
6,2,2,3	3995961	300918	545117	41084
6,2,3,2	5705694	428200	1063387	79850
6,2,4	630647	47216	66809	5009
6,3,2,2	12668615	943857	2392872	178391
6,3,3	3292782	243794	431164	31978
6,4,2	4682383	344968	847865	62530
6,5	584820	42907	49374	3653
7,2,2,2	2175610	142922	413675	27191
7,2,3	439402	28786	59080	3876
7,3,2	1510433	98331	276468	18018
7,4	342248	22212	34293	2241
8,2,2	217703	12680	40739	2375
8,3	113400	6585	14280	833
9,2	19428	1018	3447	181
10	441	21	21	1
